"CallFailure","Complains","SubscriptionLength","ChargeAmount","SecondsofUse","Frequencyofuse","FrequencyofSMS","DistinctCalledNumbers","AgeGroup","TariffPlan","Status","Age","CustomerValue","Churn"
14,"No Complains",15,0,9122,172,82,43,"45-60","Pay as you go","active",45,437.35,"non-CHURN"
10,"No Complains",16,3,3042,46,40,22,"30-45","Pay as you go","active",30,283.52,"non-CHURN"
4,"No Complains",9,1,4580,41,224,13,"30-45","Pay as you go","active",30,1080.84,"non-CHURN"
5,"No Complains",9,1,1677,20,9,10,"30-45","Pay as you go","active",30,103.88,"CHURN"
6,"No Complains",38,0,4180,70,0,14,"30-45","Pay as you go","active",30,170,"non-CHURN"
0,"No Complains",39,0,128,4,0,1,"15-30","Pay as you go","non-active",25,5.94,"non-CHURN"
8,"No Complains",37,0,2263,59,350,21,"30-45","Pay as you go","active",30,1492.88,"non-CHURN"
8,"No Complains",38,0,4008,65,0,32,"<15","Pay as you go","active",15,224.015,"non-CHURN"
1,"No Complains",38,0,2203,57,0,30,"<15","Pay as you go","active",15,124.3,"non-CHURN"
9,"No Complains",38,1,3585,81,23,25,"30-45","Pay as you go","active",30,238.64,"non-CHURN"
2,"No Complains",38,0,2170,38,276,15,"30-45","Pay as you go","active",30,1192.32,"non-CHURN"
11,"No Complains",37,2,8925,120,135,40,"30-45","Pay as you go","active",30,901.8,"non-CHURN"
5,"No Complains",38,0,13583,168,0,41,"30-45","Pay as you go","active",30,550.04,"non-CHURN"
5,"No Complains",38,1,4325,82,0,22,"30-45","Pay as you go","active",30,176.28,"non-CHURN"
4,"No Complains",38,0,5728,94,0,9,"30-45","Pay as you go","active",30,232.88,"non-CHURN"
7,"No Complains",38,0,2048,53,0,14,"30-45","Pay as you go","non-active",30,84.04,"non-CHURN"
23,"No Complains",38,3,14950,224,45,29,"30-45","Pay as you go","active",30,786.96,"non-CHURN"
2,"No Complains",38,1,2905,26,474,5,"30-45","Pay as you go","active",30,2013.24,"non-CHURN"
7,"No Complains",37,0,15295,181,141,27,"15-30","Pay as you go","active",25,1330.92,"non-CHURN"
1,"No Complains",37,1,6310,85,177,23,"30-45","Pay as you go","active",30,963.8,"non-CHURN"
0,"No Complains",37,0,685,13,0,8,"15-30","Pay as you go","non-active",25,31.41,"non-CHURN"
0,"No Complains",38,0,520,13,4,5,"30-45","Pay as you go","non-active",30,37.32,"non-CHURN"
0,"No Complains",37,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
1,"No Complains",37,0,7318,126,375,40,"15-30","Pay as you go","active",25,2022.48,"non-CHURN"
5,"No Complains",37,1,11275,153,2,44,"45-60","Pay as you go","active",45,290.7,"non-CHURN"
6,"No Complains",37,1,6528,74,99,34,"15-30","Pay as you go","active",25,742.59,"non-CHURN"
21,"No Complains",33,0,765,46,7,14,"15-30","Pay as you go","non-active",25,67.995,"CHURN"
19,"No Complains",36,8,10245,92,0,39,"60-75","contractual","active",55,155.055,"non-CHURN"
11,"No Complains",36,1,5628,97,17,21,"15-30","Pay as you go","active",25,334.125,"CHURN"
0,"No Complains",34,0,2650,21,0,11,"30-45","Pay as you go","active",30,106.84,"non-CHURN"
7,"Complains",35,0,2800,40,0,13,"30-45","Pay as you go","non-active",30,113.6,"CHURN"
7,"No Complains",36,0,2078,43,25,28,"30-45","Pay as you go","non-active",30,184.84,"CHURN"
0,"No Complains",36,0,0,0,0,0,"30-45","Pay as you go","non-active",30,0,"CHURN"
0,"No Complains",36,0,1478,24,0,3,"30-45","Pay as you go","active",30,60.08,"non-CHURN"
1,"No Complains",33,1,6595,96,5,19,"60-75","Pay as you go","active",55,107.865,"non-CHURN"
0,"No Complains",36,0,438,6,0,1,"45-60","Pay as you go","non-active",45,11.1,"CHURN"
0,"No Complains",36,1,0,0,0,0,"60-75","Pay as you go","active",55,0,"non-CHURN"
23,"No Complains",31,3,15885,237,0,77,"15-30","Pay as you go","active",25,725.49,"non-CHURN"
4,"No Complains",34,3,6775,115,262,30,"15-30","contractual","active",25,1489.05,"non-CHURN"
0,"No Complains",36,0,3528,81,0,25,"15-30","Pay as you go","active",25,162.405,"non-CHURN"
1,"No Complains",35,0,1475,43,29,17,"30-45","Pay as you go","non-active",30,176.72,"non-CHURN"
4,"No Complains",36,0,2590,52,166,20,"15-30","Pay as you go","active",25,865.89,"non-CHURN"
2,"No Complains",27,1,1125,35,184,8,"15-30","contractual","active",25,880.2,"non-CHURN"
2,"No Complains",26,0,1378,38,21,65,"45-60","Pay as you go","active",45,87.9,"non-CHURN"
9,"No Complains",27,0,510,24,1,4,"15-30","Pay as you go","non-active",25,28.53,"non-CHURN"
0,"No Complains",26,0,635,9,12,1,"45-60","Pay as you go","non-active",45,46.1,"non-CHURN"
8,"No Complains",25,0,1035,31,10,10,"15-30","Pay as you go","active",25,92.97,"non-CHURN"
0,"No Complains",25,0,3035,60,0,20,"30-45","Pay as you go","active",30,123.8,"non-CHURN"
0,"No Complains",18,0,1505,25,19,11,"15-30","Pay as you go","active",25,154.35,"non-CHURN"
14,"No Complains",17,1,6202,140,76,39,"15-30","contractual","active",25,627.39,"non-CHURN"
10,"No Complains",15,0,8742,170,64,37,"45-60","Pay as you go","active",45,382.8,"non-CHURN"
6,"No Complains",16,3,2662,44,22,16,"30-45","Pay as you go","active",30,196.24,"non-CHURN"
0,"No Complains",9,1,4200,39,206,7,"30-45","Pay as you go","active",30,993.56,"non-CHURN"
1,"No Complains",9,1,1297,18,0,4,"30-45","Pay as you go","active",30,52.6,"CHURN"
6,"No Complains",33,0,4370,65,0,16,"15-30","Pay as you go","active",25,199.575,"non-CHURN"
0,"No Complains",34,0,318,4,0,3,"15-30","Pay as you go","non-active",25,14.49,"non-CHURN"
8,"No Complains",32,0,2453,54,351,23,"15-30","Pay as you go","active",25,1692.315,"non-CHURN"
8,"No Complains",33,0,4198,60,0,34,"<15","Pay as you go","active",15,234.19,"non-CHURN"
1,"No Complains",33,0,2393,52,0,32,"<15","Pay as you go","active",15,134.475,"non-CHURN"
9,"No Complains",33,0,3775,76,24,27,"15-30","Pay as you go","active",25,281.295,"non-CHURN"
2,"No Complains",33,0,2360,33,277,17,"30-45","Pay as you go","active",30,1203.72,"non-CHURN"
11,"No Complains",32,1,9115,115,136,42,"30-45","Pay as you go","active",30,913.2,"non-CHURN"
5,"No Complains",33,0,13773,163,0,43,"30-45","Pay as you go","active",30,557.44,"non-CHURN"
5,"No Complains",33,0,4515,77,0,24,"30-45","Pay as you go","active",30,183.68,"non-CHURN"
4,"No Complains",33,0,5918,89,0,11,"15-30","Pay as you go","active",25,270.315,"non-CHURN"
7,"Complains",33,0,2238,48,0,16,"30-45","Pay as you go","non-active",30,91.44,"non-CHURN"
23,"No Complains",33,2,15140,219,46,31,"30-45","Pay as you go","active",30,798.36,"non-CHURN"
2,"No Complains",33,0,3095,21,475,7,"30-45","Pay as you go","active",30,2024.64,"non-CHURN"
7,"No Complains",32,0,15485,176,142,29,"15-30","Pay as you go","active",25,1343.745,"non-CHURN"
1,"No Complains",32,0,6500,80,178,25,"30-45","Pay as you go","active",30,975.2,"non-CHURN"
0,"No Complains",32,0,875,8,0,10,"15-30","Pay as you go","non-active",25,39.735,"non-CHURN"
0,"No Complains",33,0,710,8,5,7,"15-30","Pay as you go","non-active",25,54.81,"non-CHURN"
0,"No Complains",32,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
1,"No Complains",32,0,7508,121,376,42,"15-30","Pay as you go","active",25,2035.305,"non-CHURN"
5,"No Complains",32,0,11465,148,3,46,"30-45","Pay as you go","active",30,476.52,"non-CHURN"
6,"No Complains",32,0,6718,69,100,36,"15-30","Pay as you go","active",25,755.415,"non-CHURN"
21,"Complains",28,0,955,41,8,16,"15-30","Pay as you go","non-active",25,80.82,"CHURN"
19,"No Complains",31,7,10435,87,0,41,"45-60","Pay as you go","active",45,263.05,"non-CHURN"
11,"No Complains",31,0,5818,92,18,23,"15-30","Pay as you go","active",25,346.95,"CHURN"
0,"No Complains",29,0,2840,16,0,13,"30-45","Pay as you go","active",30,114.24,"non-CHURN"
7,"Complains",30,0,2990,35,1,15,"15-30","Pay as you go","non-active",25,140.625,"CHURN"
7,"Complains",31,0,2268,38,26,30,"30-45","Pay as you go","non-active",30,196.24,"CHURN"
0,"Complains",31,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
0,"No Complains",31,0,1668,19,0,5,"30-45","Pay as you go","active",30,67.48,"non-CHURN"
1,"No Complains",28,0,6785,91,6,21,"45-60","Pay as you go","active",45,186.9,"non-CHURN"
0,"No Complains",31,0,628,1,1,3,"45-60","Pay as you go","non-active",45,18.225,"CHURN"
0,"No Complains",31,0,338,5,0,1,"45-60","Pay as you go","active",45,8.575,"non-CHURN"
23,"No Complains",26,2,16075,232,0,79,"15-30","Pay as you go","active",25,733.815,"non-CHURN"
4,"No Complains",29,2,6965,110,263,32,"15-30","contractual","active",25,1501.875,"non-CHURN"
0,"No Complains",31,0,3718,76,0,27,"15-30","Pay as you go","active",25,170.73,"non-CHURN"
1,"No Complains",30,0,1665,38,30,19,"30-45","Pay as you go","non-active",30,188.12,"non-CHURN"
4,"No Complains",31,0,2780,47,167,22,"15-30","Pay as you go","active",25,878.715,"non-CHURN"
2,"No Complains",22,0,1315,30,185,10,"15-30","contractual","active",25,893.025,"non-CHURN"
2,"No Complains",21,0,1568,33,22,67,"45-60","Pay as you go","active",45,95.025,"non-CHURN"
9,"No Complains",22,0,700,19,2,6,"15-30","Pay as you go","non-active",25,41.355,"non-CHURN"
0,"No Complains",21,0,825,4,13,2,"45-60","Pay as you go","non-active",45,53.225,"non-CHURN"
8,"No Complains",20,0,1225,26,11,12,"15-30","Pay as you go","active",25,105.795,"non-CHURN"
0,"No Complains",20,0,3225,55,0,22,"30-45","Pay as you go","active",30,131.2,"non-CHURN"
0,"No Complains",13,0,1695,20,20,13,"15-30","Pay as you go","active",25,167.175,"non-CHURN"
14,"No Complains",12,0,6392,135,77,41,"<15","contractual","active",15,782.485,"non-CHURN"
10,"No Complains",10,0,8932,165,65,39,"45-60","Pay as you go","active",45,389.925,"non-CHURN"
6,"No Complains",11,2,2852,39,23,18,"30-45","Pay as you go","active",30,207.64,"non-CHURN"
0,"No Complains",4,0,4390,34,207,9,"30-45","Pay as you go","active",30,1004.96,"non-CHURN"
1,"No Complains",4,0,1487,13,0,6,"15-30","Pay as you go","active",25,67.5,"CHURN"
10,"No Complains",43,1,4370,77,13,18,"30-45","Pay as you go","active",30,229.88,"non-CHURN"
2,"No Complains",44,0,318,11,15,5,"30-45","Pay as you go","non-active",30,73.16,"non-CHURN"
12,"No Complains",42,1,2453,66,367,25,"30-45","Pay as you go","active",30,1568.76,"non-CHURN"
12,"No Complains",43,1,4198,72,9,36,"<15","Pay as you go","active",15,284.35,"non-CHURN"
5,"No Complains",43,1,2393,64,10,34,"15-30","Pay as you go","active",25,155.565,"non-CHURN"
13,"No Complains",43,2,3775,88,40,29,"30-45","Pay as you go","active",30,314.52,"non-CHURN"
6,"No Complains",43,1,2360,45,293,19,"45-60","Pay as you go","active",45,792.625,"non-CHURN"
15,"No Complains",42,3,9115,127,152,44,"30-45","Pay as you go","active",30,977.68,"non-CHURN"
9,"No Complains",43,1,13773,175,8,45,"30-45","Pay as you go","active",30,589.92,"non-CHURN"
9,"No Complains",43,2,4515,89,10,26,"30-45","Pay as you go","active",30,224.16,"non-CHURN"
8,"No Complains",43,1,5918,101,15,13,"30-45","Pay as you go","active",30,300.76,"non-CHURN"
11,"Complains",43,0,2238,60,16,18,"30-45","Pay as you go","non-active",30,155.92,"non-CHURN"
27,"No Complains",43,4,15140,231,62,33,"30-45","Pay as you go","active",30,862.84,"non-CHURN"
6,"No Complains",43,2,3095,33,491,9,"45-60","Pay as you go","active",45,1305.7,"non-CHURN"
11,"No Complains",42,1,15485,188,158,31,"15-30","Pay as you go","active",25,1416.285,"non-CHURN"
5,"No Complains",42,2,6500,92,194,27,"30-45","Pay as you go","active",30,1039.68,"non-CHURN"
2,"No Complains",42,0,875,20,8,12,"15-30","Pay as you go","non-active",25,76.275,"non-CHURN"
4,"No Complains",43,0,710,20,21,9,"30-45","Pay as you go","non-active",30,113.2,"non-CHURN"
0,"No Complains",42,0,0,0,8,0,"15-30","Pay as you go","non-active",25,36,"CHURN"
5,"No Complains",42,1,7508,133,392,44,"30-45","Pay as you go","active",30,1873.64,"non-CHURN"
9,"No Complains",42,2,11465,160,19,48,"45-60","Pay as you go","active",45,338.125,"non-CHURN"
10,"No Complains",42,2,6718,81,116,38,"15-30","Pay as you go","active",25,827.955,"non-CHURN"
25,"Complains",38,0,955,53,24,18,"30-45","Pay as you go","non-active",30,136.32,"CHURN"
23,"No Complains",41,9,10435,99,9,43,"60-75","contractual","active",55,171.51,"non-CHURN"
15,"No Complains",41,2,5818,104,34,25,"30-45","Pay as you go","active",30,372.88,"non-CHURN"
3,"No Complains",39,1,2840,28,8,15,"30-45","Pay as you go","active",30,146.72,"non-CHURN"
11,"No Complains",40,0,2990,47,17,17,"30-45","Pay as you go","non-active",30,189.48,"CHURN"
11,"Complains",41,0,2268,50,42,32,"45-60","Pay as you go","non-active",45,162.95,"CHURN"
2,"No Complains",41,0,133,8,8,3,"30-45","Pay as you go","non-active",30,37.64,"CHURN"
3,"No Complains",41,1,1668,31,8,7,"45-60","Pay as you go","active",45,62.475,"non-CHURN"
5,"No Complains",38,2,6785,103,22,23,"60-75","Pay as you go","active",55,136.32,"non-CHURN"
2,"No Complains",41,0,628,13,17,5,"45-60","Pay as you go","non-active",45,58.525,"CHURN"
2,"No Complains",41,2,338,10,12,3,"60-75","Pay as you go","active",55,23.22,"non-CHURN"
27,"No Complains",36,4,16075,244,8,81,"15-30","Pay as you go","active",25,770.355,"non-CHURN"
8,"No Complains",39,4,6965,122,279,34,"30-45","contractual","active",30,1399.48,"non-CHURN"
4,"No Complains",41,1,3718,88,10,29,"30-45","Pay as you go","active",30,192.24,"non-CHURN"
5,"No Complains",40,0,1665,50,46,21,"45-60","Pay as you go","non-active",45,157.875,"non-CHURN"
8,"No Complains",41,1,2780,59,183,24,"15-30","Pay as you go","active",25,951.255,"non-CHURN"
6,"Complains",32,2,1315,42,201,12,"30-45","contractual","active",30,858.28,"CHURN"
6,"No Complains",31,1,1568,45,38,69,"60-75","Pay as you go","active",55,81.195,"non-CHURN"
13,"No Complains",32,0,700,31,18,8,"30-45","Pay as you go","non-active",30,101.24,"non-CHURN"
2,"No Complains",31,0,825,16,29,4,"45-60","Pay as you go","non-active",45,93.525,"non-CHURN"
12,"No Complains",30,1,1225,38,27,14,"15-30","Pay as you go","active",25,178.335,"non-CHURN"
4,"No Complains",30,1,3225,67,16,24,"30-45","Pay as you go","active",30,195.68,"non-CHURN"
4,"No Complains",23,1,1695,32,36,15,"30-45","Pay as you go","active",30,213.08,"non-CHURN"
18,"No Complains",22,2,6392,147,93,43,"15-30","contractual","active",25,712.755,"non-CHURN"
14,"No Complains",20,1,8932,177,81,41,"60-75","Pay as you go","active",55,258.135,"non-CHURN"
10,"No Complains",21,4,2852,51,39,20,"30-45","Pay as you go","active",30,272.12,"non-CHURN"
4,"No Complains",14,2,4390,46,223,11,"30-45","Pay as you go","active",30,1069.44,"non-CHURN"
5,"Complains",14,2,1487,25,8,8,"30-45","Pay as you go","active",30,92.48,"CHURN"
14,"No Complains",39,1,5080,82,30,17,"30-45","Pay as you go","active",30,326.48,"non-CHURN"
6,"No Complains",40,0,1028,16,15,4,"30-45","Pay as you go","non-active",30,101.76,"non-CHURN"
16,"No Complains",38,1,3163,71,367,24,"30-45","Pay as you go","active",30,1597.36,"non-CHURN"
16,"No Complains",39,1,4908,77,9,35,"<15","Pay as you go","active",15,323.675,"non-CHURN"
9,"No Complains",39,1,3103,69,10,33,"15-30","Pay as you go","active",25,187.74,"non-CHURN"
17,"No Complains",39,2,4485,93,40,28,"30-45","Pay as you go","active",30,343.12,"non-CHURN"
10,"No Complains",39,1,3070,50,293,18,"30-45","Pay as you go","active",30,1296.8,"non-CHURN"
19,"No Complains",38,3,9825,132,152,43,"30-45","Pay as you go","active",30,1006.28,"non-CHURN"
13,"No Complains",39,1,14483,180,8,44,"30-45","Pay as you go","active",30,618.52,"non-CHURN"
13,"No Complains",39,2,5225,94,10,25,"30-45","Pay as you go","active",30,252.76,"non-CHURN"
12,"No Complains",39,1,6628,106,15,12,"30-45","Pay as you go","active",30,329.36,"non-CHURN"
15,"No Complains",39,0,2948,65,16,17,"30-45","Pay as you go","non-active",30,184.52,"non-CHURN"
31,"Complains",39,4,15850,236,62,32,"30-45","Pay as you go","active",30,891.44,"non-CHURN"
10,"No Complains",39,2,3805,38,491,8,"30-45","Pay as you go","active",30,2117.72,"non-CHURN"
15,"No Complains",38,1,16195,193,158,30,"15-30","Pay as you go","active",25,1448.46,"non-CHURN"
9,"No Complains",38,2,7210,97,194,26,"30-45","Pay as you go","active",30,1068.28,"non-CHURN"
6,"No Complains",38,0,1585,25,8,11,"15-30","Pay as you go","non-active",25,108.45,"non-CHURN"
8,"No Complains",39,0,1420,25,21,8,"30-45","Pay as you go","non-active",30,141.8,"non-CHURN"
6,"No Complains",38,0,710,11,8,2,"15-30","Pay as you go","non-active",25,68.445,"CHURN"
9,"No Complains",38,1,8218,138,392,43,"30-45","Pay as you go","active",30,1902.24,"non-CHURN"
13,"No Complains",38,2,12175,165,19,47,"45-60","Pay as you go","active",45,356,"non-CHURN"
14,"No Complains",38,2,7428,86,116,37,"15-30","Pay as you go","active",25,860.13,"non-CHURN"
29,"Complains",34,0,1665,58,24,17,"30-45","Pay as you go","non-active",30,164.92,"CHURN"
27,"No Complains",37,9,11145,104,9,42,"60-75","contractual","active",55,182.235,"non-CHURN"
19,"No Complains",37,2,6528,109,34,24,"15-30","Pay as you go","active",25,451.665,"non-CHURN"
7,"No Complains",35,1,3550,33,8,14,"30-45","Pay as you go","active",30,175.32,"non-CHURN"
15,"Complains",36,0,3700,52,17,16,"30-45","Pay as you go","non-active",30,218.08,"CHURN"
15,"Complains",37,0,2978,55,42,31,"30-45","Pay as you go","non-active",30,289.32,"CHURN"
6,"No Complains",37,0,843,13,8,2,"30-45","Pay as you go","non-active",30,66.24,"CHURN"
7,"No Complains",37,1,2378,36,8,6,"45-60","Pay as you go","active",45,80.35,"non-CHURN"
9,"No Complains",34,2,7495,108,22,22,"60-75","Pay as you go","active",55,147.045,"non-CHURN"
6,"Complains",37,0,1338,18,17,4,"45-60","Pay as you go","non-active",45,76.4,"CHURN"
6,"No Complains",37,2,1048,15,12,2,"60-75","Pay as you go","active",55,33.945,"non-CHURN"
31,"Complains",32,4,16785,249,8,80,"15-30","Pay as you go","active",25,802.53,"non-CHURN"
12,"Complains",35,4,7675,127,279,33,"30-45","contractual","active",30,1428.08,"non-CHURN"
8,"No Complains",37,1,4428,93,10,28,"30-45","Pay as you go","active",30,220.84,"non-CHURN"
9,"No Complains",36,0,2375,55,46,20,"30-45","Pay as you go","non-active",30,281.2,"non-CHURN"
12,"No Complains",37,1,3490,64,183,23,"15-30","Pay as you go","active",25,983.43,"non-CHURN"
10,"No Complains",28,2,2025,47,201,11,"30-45","contractual","active",30,886.88,"non-CHURN"
10,"No Complains",27,1,2278,50,38,68,"45-60","Pay as you go","active",45,153.2,"non-CHURN"
17,"No Complains",28,0,1410,36,18,7,"30-45","Pay as you go","non-active",30,129.84,"non-CHURN"
6,"No Complains",27,0,1535,21,29,3,"45-60","Pay as you go","non-active",45,111.4,"non-CHURN"
16,"No Complains",26,1,1935,43,27,13,"15-30","Pay as you go","active",25,210.51,"non-CHURN"
8,"No Complains",26,1,3935,72,16,23,"30-45","Pay as you go","active",30,224.28,"non-CHURN"
8,"No Complains",19,1,2405,37,36,14,"15-30","Pay as you go","active",25,271.89,"non-CHURN"
22,"No Complains",18,2,7102,152,93,42,"15-30","contractual","active",25,744.93,"non-CHURN"
18,"No Complains",16,1,9642,182,81,40,"60-75","Pay as you go","active",55,268.86,"non-CHURN"
14,"No Complains",17,4,3562,56,39,19,"30-45","contractual","active",30,300.72,"non-CHURN"
8,"No Complains",10,2,5100,51,223,10,"30-45","Pay as you go","active",30,1098.04,"non-CHURN"
9,"No Complains",10,2,2197,30,8,7,"30-45","Pay as you go","active",30,121.08,"CHURN"
2,"No Complains",37,0,3660,60,0,17,"15-30","Pay as you go","active",25,167.4,"non-CHURN"
0,"No Complains",38,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
4,"No Complains",36,0,1743,49,334,24,"15-30","Pay as you go","active",25,1583.64,"non-CHURN"
4,"No Complains",37,0,3488,55,0,35,"<15","Pay as you go","active",15,194.865,"non-CHURN"
0,"No Complains",37,0,1683,47,0,33,"<15","Pay as you go","active",15,95.15,"non-CHURN"
5,"No Complains",37,0,3065,71,7,28,"30-45","Pay as you go","active",30,153.44,"non-CHURN"
0,"No Complains",37,0,1650,28,260,18,"30-45","Pay as you go","active",30,1107.12,"non-CHURN"
7,"No Complains",36,1,8405,110,119,43,"30-45","Pay as you go","active",30,816.6,"non-CHURN"
1,"No Complains",37,0,13063,158,0,44,"30-45","Pay as you go","active",30,528.84,"non-CHURN"
1,"No Complains",37,0,3805,72,0,25,"30-45","Pay as you go","active",30,155.08,"non-CHURN"
0,"No Complains",37,0,5208,84,0,12,"15-30","Pay as you go","active",25,238.14,"non-CHURN"
3,"No Complains",37,0,1528,43,0,17,"30-45","Pay as you go","non-active",30,62.84,"non-CHURN"
19,"No Complains",37,2,14430,214,29,32,"30-45","Pay as you go","active",30,701.76,"non-CHURN"
0,"No Complains",37,0,2385,16,458,8,"30-45","Pay as you go","active",30,1928.04,"non-CHURN"
3,"No Complains",36,0,14775,171,125,30,"15-30","Pay as you go","active",25,1235.07,"non-CHURN"
0,"No Complains",36,0,5790,75,161,26,"30-45","Pay as you go","active",30,878.6,"non-CHURN"
0,"No Complains",36,0,165,3,0,11,"15-30","Pay as you go","non-active",25,7.56,"non-CHURN"
0,"No Complains",37,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
0,"No Complains",36,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
0,"No Complains",36,0,6798,116,359,43,"15-30","Pay as you go","active",25,1926.63,"non-CHURN"
1,"No Complains",36,0,10755,143,0,47,"30-45","Pay as you go","active",30,435.92,"non-CHURN"
2,"No Complains",36,0,6008,64,83,37,"15-30","Pay as you go","active",25,646.74,"non-CHURN"
17,"No Complains",32,0,245,36,0,17,"15-30","Pay as you go","non-active",25,12.645,"CHURN"
15,"No Complains",35,7,9725,82,0,42,"45-60","Pay as you go","active",45,245.175,"non-CHURN"
7,"No Complains",35,0,5108,87,1,24,"15-30","Pay as you go","active",25,238.275,"CHURN"
0,"No Complains",33,0,2130,11,0,14,"30-45","Pay as you go","active",30,85.64,"non-CHURN"
3,"Complains",34,0,2280,30,0,16,"15-30","Pay as you go","non-active",25,103.95,"CHURN"
3,"No Complains",35,0,1558,33,9,31,"30-45","Pay as you go","non-active",30,99.64,"CHURN"
0,"No Complains",35,0,0,0,0,0,"30-45","Pay as you go","non-active",30,0,"CHURN"
0,"No Complains",35,0,958,14,0,6,"30-45","Pay as you go","active",30,38.88,"non-CHURN"
0,"No Complains",32,0,6075,86,0,22,"45-60","Pay as you go","active",45,154.025,"non-CHURN"
0,"No Complains",35,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"CHURN"
0,"No Complains",35,0,0,0,0,0,"60-75","Pay as you go","active",55,0,"non-CHURN"
19,"No Complains",30,2,15365,227,0,80,"15-30","Pay as you go","active",25,701.64,"non-CHURN"
0,"No Complains",33,2,6255,105,246,33,"15-30","contractual","active",25,1393.2,"non-CHURN"
0,"No Complains",35,0,3008,71,0,28,"15-30","Pay as you go","active",25,138.555,"non-CHURN"
0,"No Complains",34,0,955,33,13,20,"30-45","Pay as you go","non-active",30,91.52,"non-CHURN"
0,"No Complains",35,0,2070,42,150,23,"15-30","Pay as you go","active",25,770.04,"non-CHURN"
0,"No Complains",26,0,605,25,168,11,"15-30","contractual","active",25,784.35,"non-CHURN"
0,"No Complains",25,0,858,28,5,68,"45-60","Pay as you go","active",45,34.65,"non-CHURN"
0,"No Complains",26,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
0,"No Complains",25,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"non-CHURN"
4,"No Complains",24,0,515,21,0,13,"15-30","Pay as you go","active",25,24.12,"non-CHURN"
0,"No Complains",24,0,2515,50,0,23,"30-45","Pay as you go","active",30,102.6,"non-CHURN"
0,"No Complains",17,0,985,15,3,14,"15-30","Pay as you go","active",25,58.5,"non-CHURN"
10,"No Complains",16,0,5682,130,60,42,"<15","contractual","active",15,649.66,"non-CHURN"
6,"No Complains",14,0,8222,160,48,40,"45-60","Pay as you go","active",45,329.55,"non-CHURN"
2,"No Complains",15,2,2142,34,6,19,"30-45","Pay as you go","active",30,111.04,"non-CHURN"
0,"No Complains",8,0,3680,29,190,10,"30-45","Pay as you go","active",30,908.36,"non-CHURN"
0,"No Complains",8,0,777,8,0,7,"30-45","Pay as you go","active",30,31.4,"CHURN"
8,"No Complains",38,0,4370,71,5,17,"30-45","Pay as you go","active",30,197.64,"non-CHURN"
0,"No Complains",39,0,318,5,7,4,"15-30","Pay as you go","non-active",25,46.035,"non-CHURN"
10,"No Complains",37,0,2453,60,359,24,"30-45","Pay as you go","active",30,1536.52,"non-CHURN"
10,"No Complains",38,0,4198,66,1,35,"<15","Pay as you go","active",15,240.02,"non-CHURN"
3,"No Complains",38,0,2393,58,2,33,"<15","Pay as you go","active",15,145.805,"non-CHURN"
11,"No Complains",38,1,3775,82,32,28,"30-45","Pay as you go","active",30,282.28,"non-CHURN"
4,"No Complains",38,0,2360,39,285,18,"30-45","Pay as you go","active",30,1235.96,"non-CHURN"
13,"No Complains",37,2,9115,121,144,43,"30-45","Pay as you go","active",30,945.44,"non-CHURN"
7,"No Complains",38,0,13773,169,0,44,"30-45","Pay as you go","active",30,557.68,"non-CHURN"
7,"No Complains",38,1,4515,83,2,25,"30-45","Pay as you go","active",30,191.92,"non-CHURN"
6,"No Complains",38,0,5918,95,7,12,"30-45","Pay as you go","active",30,268.52,"non-CHURN"
9,"Complains",38,0,2238,54,8,17,"30-45","Pay as you go","non-active",30,123.68,"non-CHURN"
25,"No Complains",38,3,15140,225,54,32,"30-45","Pay as you go","active",30,830.6,"non-CHURN"
4,"No Complains",38,1,3095,27,483,8,"30-45","Pay as you go","active",30,2056.88,"non-CHURN"
9,"No Complains",37,0,15485,182,150,30,"15-30","Pay as you go","active",25,1380.015,"non-CHURN"
3,"No Complains",37,1,6500,86,186,26,"30-45","Pay as you go","active",30,1007.44,"non-CHURN"
0,"No Complains",37,0,875,14,0,11,"15-30","Pay as you go","non-active",25,40.005,"non-CHURN"
2,"No Complains",38,0,710,14,13,8,"30-45","Pay as you go","non-active",30,80.96,"non-CHURN"
0,"No Complains",37,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
3,"No Complains",37,0,7508,127,384,43,"15-30","Pay as you go","active",25,2071.575,"non-CHURN"
7,"No Complains",37,1,11465,154,11,47,"45-60","Pay as you go","active",45,317.975,"non-CHURN"
8,"No Complains",37,1,6718,75,108,37,"15-30","Pay as you go","active",25,791.685,"non-CHURN"
23,"No Complains",33,0,955,47,16,17,"15-30","Pay as you go","non-active",25,117.09,"CHURN"
21,"Complains",36,8,10435,93,1,42,"60-75","Pay as you go","active",55,159.42,"non-CHURN"
13,"No Complains",36,1,5818,98,26,24,"15-30","Pay as you go","active",25,383.22,"CHURN"
